,E,nu
0,7207507.7710846625,0.4160557167565282
1,8691751.445040593,0.31969710755361663
2,7207507.7710846625,0.3281577703725144
3,7659503.420692426,0.3930309994127913
4,8512300.254383393,0.31969710755361663
5,8801334.999430371,0.4160557167565282
6,8801334.999430371,0.31969710755361663
7,8801334.999430371,0.2910687051784043
8,8801334.999430371,0.31937048756568054
9,8490291.354634097,0.31969710755361663
10,8638831.393167205,0.3930309994127913
11,7207507.7710846625,0.36635748378244265
12,8490291.354634097,0.3491524346858123
13,7659503.420692426,0.3930309994127913
14,8691751.445040593,0.3281577703725144
15,8045332.712546505,0.2910687051784043
16,8512300.254383393,0.26989763699175495
17,8691751.445040593,0.31937048756568054
18,8045332.712546505,0.2910687051784043
19,8490291.354634097,0.3491524346858123
20,8490291.354634097,0.3281577703725144
21,8691751.445040593,0.31937048756568054
22,8691751.445040593,0.2910687051784043
23,8691751.445040593,0.3930309994127913
24,8434979.187533611,0.2910687051784043
25,8045332.712546505,0.2830323581819736
26,8434979.187533611,0.3281577703725144
27,8045332.712546505,0.26989763699175495
28,8045332.712546505,0.31937048756568054
29,8434979.187533611,0.3281577703725144
30,7207507.7710846625,0.2910687051784043
31,7659503.420692426,0.2830323581819736
32,8638831.393167205,0.2830323581819736
33,8512300.254383393,0.3491524346858123
34,7207507.7710846625,0.3930309994127913
35,7207507.7710846625,0.4160557167565282
36,8512300.254383393,0.4160557167565282
37,8801334.999430371,0.3491524346858123
38,7659503.420692426,0.2830323581819736
39,8801334.999430371,0.3491524346858123
40,8512300.254383393,0.2910687051784043
41,7659503.420692426,0.3930309994127913
42,7659503.420692426,0.4160557167565282
43,8801334.999430371,0.31969710755361663
44,8490291.354634097,0.31937048756568054
45,8638831.393167205,0.36635748378244265
46,8490291.354634097,0.31969710755361663
47,8045332.712546505,0.2910687051784043
48,8240183.749634107,0.3930309994127913
49,8512300.254383393,0.4160557167565282
50,8490291.354634097,0.3281577703725144
51,8240183.749634107,0.36635748378244265
52,8691751.445040593,0.4160557167565282
53,8240183.749634107,0.4160557167565282
54,8240183.749634107,0.31937048756568054
55,8045332.712546505,0.36635748378244265
56,8490291.354634097,0.3491524346858123
57,8691751.445040593,0.31937048756568054
58,8638831.393167205,0.4160557167565282
59,7659503.420692426,0.2830323581819736
60,8434979.187533611,0.4160557167565282
61,8801334.999430371,0.3491524346858123
62,7207507.7710846625,0.3281577703725144
63,7659503.420692426,0.2830323581819736
64,8801334.999430371,0.3930309994127913
65,8801334.999430371,0.2830323581819736
66,7659503.420692426,0.26989763699175495
67,8512300.254383393,0.4160557167565282
68,8638831.393167205,0.3930309994127913
69,8045332.712546505,0.4160557167565282
70,7659503.420692426,0.31969710755361663
71,8240183.749634107,0.3930309994127913
72,8490291.354634097,0.3491524346858123
73,8045332.712546505,0.31969710755361663
74,8691751.445040593,0.31969710755361663
75,8240183.749634107,0.36635748378244265
76,8045332.712546505,0.31937048756568054
77,8801334.999430371,0.4160557167565282
78,8434979.187533611,0.2830323581819736
79,8512300.254383393,0.3281577703725144
80,8512300.254383393,0.3281577703725144
81,8490291.354634097,0.4160557167565282
82,8512300.254383393,0.3281577703725144
83,8434979.187533611,0.4160557167565282
84,8638831.393167205,0.36635748378244265
85,8490291.354634097,0.26989763699175495
86,8801334.999430371,0.26989763699175495
87,8490291.354634097,0.31969710755361663
88,8691751.445040593,0.36635748378244265
89,8691751.445040593,0.4160557167565282
90,8240183.749634107,0.31969710755361663
91,8801334.999430371,0.3281577703725144
92,8512300.254383393,0.31937048756568054
93,8691751.445040593,0.3491524346858123
94,8490291.354634097,0.31937048756568054
95,8045332.712546505,0.31969710755361663
96,7659503.420692426,0.3491524346858123
97,8512300.254383393,0.26989763699175495
98,8045332.712546505,0.31937048756568054
99,8240183.749634107,0.31969710755361663
100,8638831.393167205,0.3491524346858123
101,8434979.187533611,0.31969710755361663
102,8490291.354634097,0.3281577703725144
103,8490291.354634097,0.31969710755361663
104,7207507.7710846625,0.26989763699175495
105,8691751.445040593,0.3491524346858123
106,8045332.712546505,0.31937048756568054
107,8801334.999430371,0.31969710755361663
108,8434979.187533611,0.3491524346858123
109,8638831.393167205,0.3281577703725144
110,8691751.445040593,0.2830323581819736
111,8490291.354634097,0.2910687051784043
112,8434979.187533611,0.31969710755361663
113,8512300.254383393,0.36635748378244265
114,8691751.445040593,0.31937048756568054
115,8638831.393167205,0.3491524346858123
116,7659503.420692426,0.4160557167565282
117,8638831.393167205,0.3281577703725144
118,7207507.7710846625,0.2910687051784043
119,8801334.999430371,0.3281577703725144
120,8240183.749634107,0.3491524346858123
121,8638831.393167205,0.26989763699175495
122,8638831.393167205,0.31969710755361663
123,8638831.393167205,0.2830323581819736
124,8240183.749634107,0.36635748378244265
125,8434979.187533611,0.3281577703725144
126,8045332.712546505,0.26989763699175495
127,8801334.999430371,0.4160557167565282
128,8045332.712546505,0.4160557167565282
129,8512300.254383393,0.2830323581819736
130,7659503.420692426,0.3491524346858123
131,8434979.187533611,0.3491524346858123
132,8240183.749634107,0.3930309994127913
133,8691751.445040593,0.2910687051784043
134,8045332.712546505,0.36635748378244265
135,8490291.354634097,0.36635748378244265
136,8434979.187533611,0.3281577703725144
137,8434979.187533611,0.36635748378244265
138,8801334.999430371,0.3491524346858123
139,8801334.999430371,0.31937048756568054
140,7207507.7710846625,0.31969710755361663
141,8691751.445040593,0.36635748378244265
142,8691751.445040593,0.26989763699175495
143,8801334.999430371,0.2830323581819736
144,8638831.393167205,0.3281577703725144
145,7207507.7710846625,0.36635748378244265
146,8045332.712546505,0.3281577703725144
147,8512300.254383393,0.3281577703725144
148,8512300.254383393,0.36635748378244265
149,8240183.749634107,0.26989763699175495
150,7207507.7710846625,0.3491524346858123
151,8240183.749634107,0.4160557167565282
152,8801334.999430371,0.2910687051784043
153,7207507.7710846625,0.31937048756568054
154,8434979.187533611,0.3491524346858123
155,8045332.712546505,0.4160557167565282
156,7207507.7710846625,0.2910687051784043
157,8691751.445040593,0.2830323581819736
158,7659503.420692426,0.3491524346858123
159,7659503.420692426,0.3281577703725144
160,8240183.749634107,0.3491524346858123
161,7207507.7710846625,0.2910687051784043
162,8638831.393167205,0.3930309994127913
163,8240183.749634107,0.26989763699175495
164,8490291.354634097,0.4160557167565282
165,8691751.445040593,0.31937048756568054
166,8490291.354634097,0.2830323581819736
167,8801334.999430371,0.31937048756568054
168,8434979.187533611,0.3491524346858123
169,8801334.999430371,0.31969710755361663
170,8638831.393167205,0.2910687051784043
171,8045332.712546505,0.31937048756568054
172,8434979.187533611,0.3281577703725144
173,7659503.420692426,0.31969710755361663
174,8512300.254383393,0.31937048756568054
175,8490291.354634097,0.3930309994127913
176,8490291.354634097,0.31969710755361663
177,8240183.749634107,0.3930309994127913
178,7207507.7710846625,0.3491524346858123
179,8240183.749634107,0.3491524346858123
180,8490291.354634097,0.4160557167565282
181,8691751.445040593,0.31937048756568054
182,8638831.393167205,0.31969710755361663
183,8801334.999430371,0.36635748378244265
184,8512300.254383393,0.3281577703725144
185,8638831.393167205,0.31937048756568054
186,8045332.712546505,0.31937048756568054
187,8490291.354634097,0.36635748378244265
188,8801334.999430371,0.31969710755361663
189,8512300.254383393,0.31969710755361663
190,8045332.712546505,0.3930309994127913
191,7659503.420692426,0.26989763699175495
192,7207507.7710846625,0.3930309994127913
193,8490291.354634097,0.3491524346858123
194,8240183.749634107,0.2830323581819736
195,8240183.749634107,0.3491524346858123
196,7659503.420692426,0.2830323581819736
197,8638831.393167205,0.3491524346858123
198,7207507.7710846625,0.3281577703725144
199,8490291.354634097,0.36635748378244265
200,8638831.393167205,0.3930309994127913
201,8490291.354634097,0.26989763699175495
202,8691751.445040593,0.31969710755361663
203,7207507.7710846625,0.3491524346858123
204,8512300.254383393,0.31969710755361663
205,7659503.420692426,0.26989763699175495
206,7207507.7710846625,0.2830323581819736
207,8801334.999430371,0.3491524346858123
208,8490291.354634097,0.2830323581819736
209,8240183.749634107,0.26989763699175495
210,8638831.393167205,0.2830323581819736
211,8638831.393167205,0.3930309994127913
212,8691751.445040593,0.4160557167565282
213,8691751.445040593,0.31969710755361663
214,8638831.393167205,0.3930309994127913
215,8512300.254383393,0.3281577703725144
216,8490291.354634097,0.3281577703725144
217,8801334.999430371,0.3930309994127913
218,7659503.420692426,0.31937048756568054
219,8801334.999430371,0.4160557167565282
220,7207507.7710846625,0.31937048756568054
221,8801334.999430371,0.36635748378244265
222,8801334.999430371,0.2830323581819736
223,8512300.254383393,0.2830323581819736
224,7659503.420692426,0.31969710755361663
225,8240183.749634107,0.3930309994127913
226,8691751.445040593,0.2830323581819736
227,8512300.254383393,0.36635748378244265
228,8638831.393167205,0.3930309994127913
229,8490291.354634097,0.2910687051784043
230,8801334.999430371,0.36635748378244265
231,8512300.254383393,0.36635748378244265
232,8691751.445040593,0.31937048756568054
233,8801334.999430371,0.2910687051784043
234,8434979.187533611,0.31937048756568054
235,8045332.712546505,0.31937048756568054
236,8638831.393167205,0.2910687051784043
237,8691751.445040593,0.31937048756568054
238,8801334.999430371,0.2830323581819736
239,8512300.254383393,0.3930309994127913
240,8045332.712546505,0.31937048756568054
241,8691751.445040593,0.3281577703725144
242,8434979.187533611,0.2830323581819736
243,8434979.187533611,0.3930309994127913
244,8434979.187533611,0.31937048756568054
245,8490291.354634097,0.3281577703725144
246,8801334.999430371,0.36635748378244265
247,7207507.7710846625,0.3281577703725144
248,8240183.749634107,0.31969710755361663
249,8638831.393167205,0.31937048756568054
250,8801334.999430371,0.3281577703725144
251,8801334.999430371,0.4160557167565282
252,8801334.999430371,0.2910687051784043
253,8512300.254383393,0.26989763699175495
254,8638831.393167205,0.31937048756568054
255,8512300.254383393,0.31969710755361663
256,8045332.712546505,0.3281577703725144
257,8691751.445040593,0.26989763699175495
